,,PARTNER INFO,,,,,,,,📧 NEWSLETTER SPOTLIGHT,,,,📰 NEWSLETTER (GENERAL),,,,📱 SOCIAL POST,,,,WEBSITE SPOTLIGHT,,,,✉️ SEND OUR INFO (High Value),,🎪 EVENT SPONSORSHIP,,,,🤝 CO-PLANNED EVENT	,,NOTES
San Diego Regional Chamber,BD,Hannah,,"San Diego, CA","3,500",Engaged,⭐⭐⭐ Average,Erika Garcia,egarcia@sdchamber.org,No,N/A,N/A,,Yes,Yes (via event calendar),Included,Post events to calendar — events automatically pulled into monthly newsletter,Yes,Yes (via event calendar),Included,Events on calendar automatically promoted on social if few that month,,,,,No,,Yes,No,$500+,Contact Erika.,No,Need 18 months of engagement before creative partnerships. Can post events to calendar.,"Event calendar is main channel. No custom content — only event-based newsletter. 18 months before creative partnership. 3,500+ members."
Brooklyn Chamber of Commerce,Marketing,Kat,Daniel,"Brooklyn, NY","1,000",Engaged,⭐⭐⭐⭐ Above Avg,Evan Plake,eplake@brooklynchamber.com,Yes,Yes,1 per quarter included in membership,Submit promotion request form,No,No,,,Yes,Yes,1 per quarter included in membership,Submit promotion request form,Yes,Yes,1 per quarter included in membership,"Submit promotion request form

The website blogpost allows for longer-form content like an article. Some members like to combine their Member Spotlight with the Website one, where the newsletter will link out to the blogpost.",No,,Yes,Some included,"$4,000","Contact Evan. 

Best fit is their monthly After-hours:  Pilot featured on event promo & gets 2 min to address crowd & gets opt-in attendee list post event

If doing 2 events, total cost will be $7k (we already did one in Q1 for $4k so next will be $3k)",Yes,Open to co-sponsoring events. Contact Evan — propose event idea.,High-tier membership includes social + newsletter + spotlight. 3/18 after-hours event sponsored. Committees may be useful for BD.
Buffalo Niagara Partnership,Marketing,Kat,Daniel,"Buffalo + Niagara, NY","1,300",Engaged,⭐⭐⭐⭐ Above Avg,"Dan Capriotti, Member Engagement Coordinator

Atiana German, Sponsorship Manager ","DCapriotti@thepartnership.org

AGerman@thepartnership.org",Unsure,Unsure,,Must get more info,Unsure,Unsure,,Must get more info,Unsure,Unsure,,Must get more info,Unsure,Unsure,,Must get more info,Unsure,Must get more info,Yes,No,"$1,000 - $5,000 

Has been flexible with us on fees",Contact Atiana,Yes,Open to co-planning. Contact Dan.,"Their monthly member networking event, LinkUp, costs $3,500 to sponsor 4 events, but they are open to 1-off available. 

"
CalAsian Chamber of Commerce,Marketing,Kat,"if needed, Astrid can help",California (statewide),"6,000",Engaged,⭐⭐⭐⭐⭐ Excellent,Alison Rivas,arivas@calasiancc.org,Yes,Yes,Included,Contact Alison — email blast to member list; dedicated sends included,Yes,Yes,Included,Contact Alison or post via member portal,Yes,Yes,Included,Contact Alison — social included in membership,N/A,N/A,,,Yes,Has sent dedicated emails on our behalf multiple times. Very willing. Contact Alison.,Yes,Yes,,Contact Alison,Yes,Tax Day event (3/11) done. Empower Program support in discussion. Contact Alison.,Top partner. 5% rev share agreed. Intro to SBDC and incubator. San Joaquin SBDC housed in chamber. Empower Program integration in discussion.
Chamber RVA,Marketing,Kat,Evan,"Richmond, VA",800,Signed,⭐⭐⭐⭐ Above Avg,"Stephanie Phillips, Director of Member Value and Engagement",stephanie.phillips@chamberrva.com,No,N/A,N/A,,Yes,Yes,$450–$600 dedicated email; weekly feature included,Contact chamber — unlimited member news on website included; $450–$600 dedicated email.,No,N/A,N/A,,,,,,No,,Yes,No,$250–$600+,"Contact chamber. Mixers (100–150 ppl), small biz prospectus (10–15 biz, every other month). $600 sponsorship in activations budget.",Yes,Interested in hosting Q2 AI for SMBs event. Contact chamber.,"$1,000/yr. 65% of members are small businesses. Unlimited member news included. $450–$600 dedicated email. AI for SMBs event in planning."
Chicagoland Chamber,Marketing,Kat,Daniel,"Chicago, IL",900,Engaged,⭐⭐⭐ Average,Chase Berman,cberman@chicagolandchamber.org,Yes,No,$500/feature,"Purchase via invoice, contact Chase.",Yes,Partially,Paid spotlight; basic member news included,Post via member portal for free; purchase dedicated newsletter ad separately,Yes,Yes,Included,Included in membership,,,,,No,Not set up for dedicated sends yet.,Yes,Some included,"$500–$3,000+",Contact Chase,Yes,"Pitch event ideas to membership team — programming groups (women's biz, tech, emerging leaders).","Chase loves us, down to help us get the most out of our membership."
Frisco Chamber,Marketing,Kat,Astrid / Evan,"Frisco, TX","1,200",Engaged,⭐⭐⭐ Average,Nicole Eversman,Nicole@friscochamber.com,No,N/A,N/A,,No,No,N/A,No traditional newsletter — has members-only FB page. Post directly to FB group.,Yes,Yes (FB group),Included,Post directly to members-only FB page — chamber monitors but open to member posts,,,,,No,,Yes,No,$500+,"Contact Nicole. August annual conference RED (250–270+ ppl). Chamber Works weekly (100 biz, sponsor breakfast = 5-min presentation).",Yes,No events until August 2026 (moving to new building). Contact Nicole for summer event planning.,$425/yr. No traditional newsletter. FB members-only group is main channel.
Plano Chamber,Marketing,Kat,Astrid / Evan,"Plano, TX",850,Engaged,⭐⭐⭐⭐ Above Avg,"Ryan Minter

Jenny Avis","ryanm@planochamber.org

Jjennya@planochamber.org",Yes,Yes (small ad in base),Included in base membership,Contact Ryan — base membership includes small ad piece + newsletter features,Yes,Yes,Included; add-ons available,Contact Ryan — newsletter features included; print/digital add-ons available,Yes,Yes,Included,Contact Ryan — logo placement + social included in membership,,,,,No,Not established.,Yes,Some included,"$500–$5,000+",Contact Ryan,Yes,Open to event planning with us. Contact Ryan.,$6K/yr at Innovate level. Access to full member roster + mailing list. 850 members (~80% SMBs). Rev share possible (committee-driven).
San Francisco Chamber,Marketing,Kat,"if needed, Astrid can help","San Francisco, CA","1,000",Producing SQLs,⭐⭐⭐⭐⭐ Excellent,Rolando Tirado,rtirado@sfchamber.com,Yes,Yes,Included,Contact Rolando — included in membership,Yes,Yes,Included,Contact Rolando — SMB blurb sent in newsletter; post via member portal,Yes,Yes,Included,Contact Rolando — social suite included in membership,,,,,Yes,They have done this for us before. Just ask Rolando.,Yes,Some included,"$500–$2,000+",Contact Rolando.,Yes,Open to co-sponsoring events. Prior tax day event hosted. Contact Rolando.,Flagship partner. Rev share in discussion. 
"WBEC Pacific 
(membership org but not a chamber)",Marketing,Kat & Astrid,,Pacific Northwest,"1,300",Engaged,⭐⭐⭐⭐ Above Avg,Brad Haney,Brad@wbec-pacific.org,No,N/A,N/A,,Yes,Yes (quarterly),Included in custom $5K package,Contact via Kat — quarterly sponsored newsletter content included in custom membership package,Yes,Yes (monthly community platform),Included in custom $5K package,Contact via Kat — monthly community platform post included in custom package,,,,,No,,Yes,Yes (3 events),Included in custom $5K package,"Contact via Kat. 3 speaking/event features (Bay, Portland, Seattle). 40–60 attendees per free event.",Yes,Very open. Custom package includes shaping event topics together. Contact via Kat.,Custom $5K package: monthly platform post + quarterly newsletter + 3 events. Community platform just launched Jan 2026. Very collaborative.
Youngstown/Warren Regional Chamber,Marketing,Kat,Astrid,"Youngstown, OH","3,000",Engaged,⭐⭐⭐⭐ Above Avg,Joe Merlo,joe@regionalchamber.com,Yes,Yes (via Plus Program),3-mo package ~$300+,There is something called the Membership Plus Program: content pushed via social + standalone email that seems like a good deal. Contact Joe.,Yes,Yes,Bi-weekly; Plus Program for upgrades,Contact Joe — bi-weekly newsletter; Membership Plus adds banner ads,Yes,Yes (via Plus Program),3-mo package,Contact Joe about the plus Program: 3 social posts + monthly content updates,,,,,Yes,Gave us member email list WITH emails. They send emails on our behalf. Extremely high value.,Yes,Some included,"$500–$2,500+",Contact Joe. Good Morning/Evening series (150–250 ppl). Signature events (500–700 ppl). Virtual webinars on demand.,Yes,Very open to co-planning. Contact Jackie.,$460/yr entry. Member export list WITH emails (industry/size filterable). 100+ events/yr. Virtual webinars on demand. 
Anne Arundel Chamber,Pause,-,"if needed, Astrid can help","Severn, MD",500,Engaged,⭐⭐⭐ Average,Amy Berry,amy@aaaccc.org,Yes,No,$500/feature (Member Spotlight Video),Contact Amy — Member Spotlight Video $500. Purchase w/ credit card,Yes,Yes,$150/blast to 5K subscribers,Contact Amy — weekly newsletter; E-blast $150 to 5K subscribers,Yes,Yes,Included,Included with membership — social posts + FB included,,,,,Unsure,Worth testing,Yes,Some included,"$250–$1,000",Contact Amy. ,Yes,,
Calaveras Chamber of Commerce,Pause,-,"if needed, Astrid can help","Valley Springs, CA",190,Engaged,⭐⭐⭐⭐ Above Avg,Rachel Sparks,director@calaveras.org,No,N/A,N/A,Not available,Yes,Yes (at Supporter level),Included at Supporter level,Contact Rachel — newsletter access unlocked at Supporter level; contact directly,No,N/A,N/A,Not confirmed.,,,,,No,Not established.,Yes,N/A,N/A,Contact Rachel.,Yes,Very open to co-hosting workshops (prefer Wed lunch or 4–5pm). Contact Rachel — propose event.,$500/yr (legacy pricing). Rural chamber. Loves workshops — constant demand. Open to 10% rev share discussion. Very hard to get in touch with (Rachel is the only employee and very busy).
Davis Chamber of Commerce,Pause,-,"if needed, Astrid can help","Centerville, UT",400,Engaged,⭐⭐⭐⭐ Above Avg,"Kristin Wojciechowski

Kenna Hyer","kristin@davischamberofcommerce.com

kenna@davischamberofcommerce.com",No,N/A,N/A,Not confirmed for spotlights,Yes,Yes (Executive level only),"$2,700/yr for Executive",Contact Kristin — weekly newsletter exclusive to Executive members; shoutout on joining,Yes,Building it now,TBD,Contact Kristin — social media currently being built out,,,,,No,Not established.,Yes,Some included,"$500–$2,000+","Contact Kristin. Business Alliance (2x/mo, 60–80 ppl), Chamber Connections (20–30 ppl), luncheons (60–100 ppl). Open to events not on calendar.",Yes,Very open to co-planned events not on existing calendar. Contact Kristin.,$445/yr. 14 cities in county. Members very engaged. Open to custom events. Want to be a resource hub. New biz zone on website interest.
Glendale Chamber of Commerce,Pause,-,"if needed, Astrid can help","Glendale, AZ","2,000",Signed,⭐⭐⭐⭐ Above Avg,Theresa Hernandez,thernandez@glendaleazchamber.org,No,N/A,N/A,Not standalone,Yes,Yes,Included (Voice of Business Mag ad pending),Contact Theresa — newsletter/directory included. Voice of Business magazine ad placement in discussion.,Yes,Yes (Members-only FB group),Included,Contact Theresa — Members-only FB Group included with membership,,,,,No,Not yet established.,Yes,Yes (Business Over Breakfast),Included / $500+ larger events,Contact Theresa. Business Over Breakfast: 15–20 min presentation slots included in membership.,Yes,High interest in co-hosting virtual webinars + bookkeeping educational series. Contact Theresa.,$495/yr (negotiated down). Bookkeeping is #1 requested resource at events. Spanish-language materials a plus. No competition in directory.
Grand Island Chamber,Pause,-,"if needed, Astrid can help","Grand Island, NE",600,Engaged,⭐⭐⭐ Neutral,Grant Cope,gcope@grandisland.org,No,N/A,N/A,Not confirmed,Yes,Yes,Included,Contact Grant — newsletter included in membership,No,N/A,N/A,Not confirmed.,,,,,No,Not established.,Yes,TBD,TBD,Contact Grant. Events available. CPA partnership sponsorship in discussion.,Yes,Open to future event planning. Contact Grant.,Joined 3/5. Follow-up call missed. CPA partnership in discussion. Early-stage relationship — need to follow up.
Greater Madison Chamber,Pause,-,"if needed, Astrid can help","Madison, WI","1,200",Signed,⭐⭐⭐ Neutral,Rachel LaCasse-Ford,rachel@madisonbiz.com,No,N/A,N/A,Not confirmed as spotlight,Yes,Yes (3 large ads at Lead Level),Included at Lead level ($750/yr),Contact Rachel — 3 large BEAM newsletter ads included with Lead membership. Schedule with Rachel.,No,N/A,N/A,Not confirmed.,,,,,No,Not established.,Yes,Some included,$200+/event,Contact Rachel. Event sponsorship available. $200 per event noted in activations budget.,Yes,Open to co-planned events. Contact Rachel.,"$750/yr Lead level includes 3 large BEAM newsletter ads. Newsletter ads are the primary activation. 1,200 members (~72% SMBs)."
Greater Phoenix Chamber,Pause,-,"if needed, Astrid can help","Greater Phoenix, AZ","2,400",Engaged,⭐⭐⭐ Bad (Low Collab),Curt Moroney,CMoroney@phoenixchamber.com,No,N/A,N/A,Not interested in collaboration,No,N/A,N/A,Not interested in collaboration,No,N/A,N/A,Not interested in collaboration,,,,,No,Not established. Chamber not interested in collab.,No,No,N/A,Chamber not willing to collaborate. Continue sending offers passively. Use member portal.,No,Not open to co-planning.,"$575/yr. No bookkeeping in directory — good signal, but contact uninterested in collab. Local partner (John Peterson) is the real channel. Attend events."
Tacoma-Pierce County Chamber,Pause,-,"if needed, Astrid can help","Tacoma, WA","1,300",Signed,⭐⭐⭐ Neutral,"Jonathan Cooper

Janice Hutchins","jonathanc@tacomachamber.org

Janice Hutchins janice@tacomachamber.org",No,N/A,N/A,Not confirmed,Yes,Yes,Included,Contact Jonathan — newsletter included in membership,No,N/A,N/A,Not confirmed.,,,,,No,Not established.,Yes,Some included,$500+,Contact Jonathan. Member discount added to portal. Tracks new members monthly — great for Booster targeting.,No,Not confirmed yet.,"$1,650/yr. Tracks new members monthly (great Booster leads). Communication has been inconsistent — follow up by phone."
